Tanggal Kurs;Kurs
05/01/2015;8.42E-05
06/01/2015;2.99E-05
07/01/2015;3.40E-05
08/01/2015;6.16E-09
09/01/2015;5.15E-05
12/01/2015;3.26E-05
13/01/2015;1.01E-05
14/01/2015;4.94E-06
15/01/2015;8.63E-06
16/01/2015;3.63E-06
19/01/2015;2.27E-06
20/01/2015;1.38E-05
21/01/2015;6.55E-05
22/01/2015;7.19E-05
23/01/2015;3.16E-07
26/01/2015;3.42E-05
27/01/2015;3.68E-06
28/01/2015;1.60E-07
29/01/2015;1.85E-06
30/01/2015;7.66E-05
02/02/2015;3.51E-05
03/02/2015;2.02E-05
04/02/2015;7.25E-06
05/02/2015;1.21E-05
06/02/2015;1.00E-05
09/02/2015;2.72E-05
10/02/2015;7.64E-06
11/02/2015;1.95E-05
12/02/2015;5.44E-05
13/02/2015;3.83E-06
16/02/2015;4.48E-06
17/02/2015;1.38E-06
18/02/2015;1.35E-05
20/02/2015;1.23E-05
23/02/2015;7.87E-06
24/02/2015;1.70E-05
25/02/2015;2.66E-06
26/02/2015;3.77E-06
27/02/2015;6.04E-09
02/03/2015;0.000101119
03/03/2015;5.71E-06
04/03/2015;5.94E-09
05/03/2015;2.06E-05
06/03/2015;9.00E-06
09/03/2015;2.42E-05
10/03/2015;8.45E-07
11/03/2015;6.41E-05
12/03/2015;8.30E-07
13/03/2015;1.29E-06
16/03/2015;1.21E-05
17/03/2015;4.48E-06
18/03/2015;1.16E-05
19/03/2015;0.000142117
20/03/2015;2.64E-05
23/03/2015;5.85E-09
24/03/2015;6.38E-05
25/03/2015;9.54E-06
26/03/2015;3.00E-05
27/03/2015;2.19E-05
30/03/2015;2.83E-06
31/03/2015;2.34E-08
01/04/2015;9.85E-06
02/04/2015;1.09E-05
06/04/2015;2.00E-05
07/04/2015;9.52E-06
08/04/2015;2.37E-06
09/04/2015;4.99E-06
10/04/2015;2.37E-05
13/04/2015;7.33E-06
14/04/2015;6.88E-06
15/04/2015;5.34E-08
16/04/2015;0.000114318
17/04/2015;3.78E-06
20/04/2015;8.70E-07
21/04/2015;2.69E-05
22/04/2015;5.97E-07
23/04/2015;1.01E-06
24/04/2015;2.39E-08
27/04/2015;2.16E-06
28/04/2015;1.87E-05
29/04/2015;1.16E-06
30/04/2015;4.35E-06
04/05/2015;4.19E-05
05/05/2015;4.63E-06
06/05/2015;1.30E-05
07/05/2015;3.67E-06
08/05/2015;7.29E-05
11/05/2015;2.15E-05
12/05/2015;4.37E-05
13/05/2015;1.29E-06
15/05/2015;5.56E-05
18/05/2015;3.94E-06
19/05/2015;2.60E-05
20/05/2015;1.13E-06
21/05/2015;2.08E-06
22/05/2015;1.13E-06
25/05/2015;1.44E-05
26/05/2015;2.07E-07
27/05/2015;7.84E-06
28/05/2015;3.30E-06
29/05/2015;2.06E-07
01/06/2015;2.07E-06
03/06/2015;6.62E-06
04/06/2015;1.26E-05
05/06/2015;1.15E-05
08/06/2015;2.92E-05
09/06/2015;2.24E-08
10/06/2015;6.11E-06
11/06/2015;7.73E-06
12/06/2015;3.53E-06
15/06/2015;1.44E-06
16/06/2015;0
17/06/2015;6.49E-06
18/06/2015;3.79E-06
19/06/2015;1.63E-06
22/06/2015;2.03E-07
23/06/2015;2.26E-08
24/06/2015;7.33E-06
25/06/2015;1.05E-05
26/06/2015;1.27E-06
29/06/2015;1.82E-06
30/06/2015;3.23E-06
01/07/2015;5.63E-09
02/07/2015;2.02E-07
03/07/2015;2.48E-06
06/07/2015;7.70E-06
07/07/2015;9.00E-06
08/07/2015;6.13E-06
09/07/2015;5.61E-09
10/07/2015;1.04E-05
13/07/2015;1.41E-07
14/07/2015;6.83E-07
15/07/2015;4.56E-07
22/07/2015;8.54E-06
23/07/2015;3.78E-06
24/07/2015;1.62E-05
27/07/2015;1.38E-07
28/07/2015;2.71E-07
29/07/2015;1.41E-06
30/07/2015;3.18E-06
31/07/2015;9.31E-07
03/08/2015;6.65E-07
04/08/2015;4.94E-08
05/08/2015;2.65E-06
06/08/2015;7.87E-07
07/08/2015;2.68E-07
10/08/2015;0
11/08/2015;1.36E-07
